Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1711574039.245831,800,1711574039,0,GPS1_Frame,42.333144999999995,-71.10622,27.5,326476.9567207615,4688914.386782089,19,T,0.8,"b'$GPGGA,211359.000,4219.9887,N,07106.3732,W,1,11,0.8,27.5,M,-33.8,M,,0000*5B\r\n'"
1711574040.2459152,801,1711574040,0,GPS1_Frame,42.333144999999995,-71.10622,27.5,326476.9567207615,4688914.386782089,19,T,0.8,"b'$GPGGA,211400.000,4219.9887,N,07106.3732,W,1,11,0.8,27.5,M,-33.8,M,,0000*50\r\n'"
1711574041.2480555,802,1711574041,0,GPS1_Frame,42.333144999999995,-71.10622,27.5,326476.9567207615,4688914.386782089,19,T,0.8,"b'$GPGGA,211401.000,4219.9887,N,07106.3732,W,1,11,0.8,27.5,M,-33.8,M,,0000*51\r\n'"
1711574042.2665663,803,1711574042,0,GPS1_Frame,42.33314,-71.10622333333335,27.6,326476.66833797906,4688913.838371825,19,T,0.8,"b'$GPGGA,211402.000,4219.9884,N,07106.3734,W,1,11,0.8,27.6,M,-33.8,M,,0000*54\r\n'"
1711574043.245692,804,1711574043,0,GPS1_Frame,42.33313166666667,-71.10622833333333,27.3,326476.2334718794,4688912.923221097,19,T,0.8,"b'$GPGGA,211403.000,4219.9879,N,07106.3737,W,1,11,0.8,27.3,M,-33.8,M,,0000*51\r\n'"
1711574044.2463117,805,1711574044,0,GPS1_Frame,42.333115,-71.10623000000001,27.3,326476.0503189501,4688911.075914946,19,T,0.8,"b'$GPGGA,211404.000,4219.9869,N,07106.3738,W,1,11,0.8,27.3,M,-33.8,M,,0000*58\r\n'"
1711574045.2447414,806,1711574045,0,GPS1_Frame,42.333088333333336,-71.10622833333333,27.7,326476.1142956832,4688908.1113826595,19,T,0.8,"b'$GPGGA,211405.000,4219.9853,N,07106.3737,W,1,11,0.8,27.7,M,-33.8,M,,0000*5B\r\n'"
1711574046.2455194,807,1711574046,0,GPS1_Frame,42.33305666666667,-71.10623000000001,28.5,326475.88988940313,4688904.598440146,19,T,0.8,"b'$GPGGA,211406.000,4219.9834,N,07106.3738,W,1,11,0.8,28.5,M,-33.8,M,,0000*5B\r\n'"
1711574047.2452047,808,1711574047,0,GPS1_Frame,42.33301166666667,-71.10623666666667,29.3,326475.21686502034,4688899.615134856,19,T,0.8,"b'$GPGGA,211407.000,4219.9807,N,07106.3742,W,1,11,0.8,29.3,M,-33.8,M,,0000*50\r\n'"
1711574048.2448213,809,1711574048,0,GPS1_Frame,42.33296166666667,-71.10625,29.5,326473.9808237938,4688894.090221409,19,T,0.8,"b'$GPGGA,211408.000,4219.9777,N,07106.3750,W,1,11,0.8,29.5,M,-33.8,M,,0000*52\r\n'"
