Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,raw_string
1711562703.9289813,1843,1711562703,926748275,imu1_frame,0,0,0,,-0.04027602554599277,-0.009034343929728916,-0.7683002210916401,0.6387573816923876,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.2690016889853794e-05,-2.6197392072434882e-05,1.4660765716752367e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.628,0.577,-9.536,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.704e-05,-8.599999999999999e-06,-2.8460000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562703.953011,1844,1711562703,950534105,imu1_frame,0,0,0,,-0.04025938191656328,-0.00905410665034349,-0.7683055584994379,0.6387517311908651,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.107128036906413e-05,-2.7576202181510406e-05,-1.2915436464758039e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.748,0.348,-9.606,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.6830000000000005e-05,-7.77e-06,-2.741e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562703.9789784,1845,1711562703,974715471,imu1_frame,0,0,0,,-0.04026263163046355,-0.009023176940820827,-0.768300503433348,0.638758044329892,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.300859583877783e-05,-8.258898020437167e-05,1.7418385934903408e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.687,0.243,-9.556,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.704e-05,-8.24e-06,-2.7789999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.0030458,1846,1711562704,554561,imu1_frame,0,0,0,,-0.040271612972313464,-0.008984839751193843,-0.7683066738311949,0.6387505967039873,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.391174736624983e-05,0.00014261085318045667,-1.0524335389525806e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.644,0.604,-9.533,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.663e-05,-6.7e-06,-2.863e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.0280015,1847,1711562704,24689912,imu1_frame,0,0,0,,-0.04023584376261512,-0.009000842954762221,-0.7683010674146502,0.6387593690211699,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.038765550507629e-05,0.00010920525129728521,1.1484266478122687e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.76,0.322,-9.675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.696e-05,-6.7e-06,-2.8749999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.0524554,1848,1711562704,49717187,imu1_frame,0,0,0,,-0.04026030760996073,-0.008998951907244342,-0.7682953684688419,0.6387647088600379,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7.998843961890013e-05,-5.701990666265475e-05,2.5830872929516076e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.708,0.293,-9.532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.696e-05,-6.5900000000000004e-06,-2.8749999999999997e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.0744276,1849,1711562704,74038743,imu1_frame,0,0,0,,-0.04028930157941217,-0.008977716896141883,-0.7682955413941137,0.6387629715720076,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.328416544945937e-05,-2.4661502330679877e-05,8.237954069413234e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.669,0.638,-9.578,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.671e-05,-8e-06,-2.9010000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.1010146,1850,1711562704,97317457,imu1_frame,0,0,0,,-0.04026700452088355,-0.009004535464318335,-0.7682952275446031,0.6387643775447824,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.356489135763349e-05,8.361872446304833e-05,1.3264502315156904e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.825,0.242,-9.67,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.67e-05,-8.59e-06,-2.8210000000000003e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.1242921,1851,1711562704,122298717,imu1_frame,0,0,0,,-0.04028252638189087,-0.008972484865851943,-0.7682901078328049,0.6387700077413476,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0001287529389196217,2.1066124071571557e-05,9.354964790689607e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.7,0.316,-9.545,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.726e-05,-8.599999999999999e-06,-2.858e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
1711562704.1471958,1852,1711562704,145519733,imu1_frame,0,0,0,,-0.04033385603854685,-0.008992577399562815,-0.7682894196636229,0.6387673138488758,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.530801076784529e-05,3.4836771869806816e-05,1.6196655458507378e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.673,0.588,-9.597,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,3.647e-05,-8.939999999999999e-06,-2.808e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",
